session ID,日付,スクロール率(%),現在のスクロール位置(px),ページ全体の高さ(px),ビューポートの高さ(px),動画再生時間(秒),案内が表示されたか,デバイス,セッション時間,アクション
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:15:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",675.394,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:16:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",735.395,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:17:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",795.395,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:18:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",855.393,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:19:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",915.393,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:20:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",975.391,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:21:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1035.39,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:22:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1095.388,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:23:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1155.39,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:24:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1215.388,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:25:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1275.388,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:26:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1335.387,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:27:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1395.386,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:28:30,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1455.384,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:29:14,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1499.49,normal
66d6064b-7dd0-459d-9a26-eb047b732c6b,2024-12-08 13:29:15,0,1146,798,0,0,非表示,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",1500.924,normal
d3fc7a62-dbeb-49e8-9728-e9a0495ba66f,2024-12-08 15:22:39,99,4931,665,4223,615.278,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.20.0",334.685,normal
4680d800-8182-4e51-9823-7030d2a70993,2024-12-08 15:24:33,100,4931,725,4206,0,表示,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/14.20.0",5.557,cta_click
